Label,Section Name,Section Number,Question Number,Column,Type of Variable,SAS Variable Name,Question Prologue,Question,var_info
"Minutes or Hours Walking, Running, Jogging, or Swimming",Exercise (Physical Activity),,7,127-129,Num,EXERHMM2,,"And when you took part in this activity, for how many minutes or hours did you usually keep at it?","{'Value': ['1 - 759', '777', '800 - 959', '999', 'BLANK'], 'Value Label': ['Hours and Minutes', ""Don't know/Not sure"", 'Hours and Minutes', 'Refused', 'Not asked or MissingNotes: Section 04.01, EXERANY2, is coded 2, 7, 9, or Missing; or Section 04.02, EXRACT12 is coded 77, 99 or Section 04.05, EXRACT22 is coded 77, 88, 99'], 'Frequency': ['219,934', '4,713', '3,601', '509', '204,566'], 'Percentage': ['96.14', '2.06', '1.57', '0.22', '.'], 'Weighted Percentage': ['96.23', '1.78', '1.81', '0.18', '.']}"
How many times did you do physical activities or exercises to STRENGTHEN your muscles?,Exercise (Physical Activity),,8,130-132,Num,STRENGTH,,"During the past month, how many times per week or per month did you do physical activities or exercises to STRENGTHEN your muscles?   [Do NOT count aerobic activities like walking, running, or bicycling. Count activities using your own body weight like yoga, sit-ups or push-ups and those using weight machines, free weights, or elastic bands.]","{'Value': ['101 - 199', '201 - 299', '777', '888', '999', 'BLANK'], 'Value Label': ['Times per week', 'Times per month', ""Don't know / Not sure"", 'Never', 'Refused', 'Not asked or Missing'], 'Frequency': ['144,379', '76,000', '12,049', '198,771', '2,120', '4'], 'Percentage': ['33.32', '17.54', '2.78', '45.87', '0.49', '.'], 'Weighted Percentage': ['34.62', '17.53', '2.68', '44.70', '0.47', '.']}"
Ever Told Blood Pressure High,Hypertension Awareness,,1,133,Num,BPHIGH6,,"Have you ever been told by a doctor, nurse or other health professional that you have high blood pressure?  (If Yes -   and respondent is female, ask Was this only when you were pregnant?.)","{'Value': ['1', '2', '3', '4', '7', '9', 'BLANK'], 'Value Label': ['Yes', 'Yes, but female told only during pregnancy -  Go to Section 06.01 CHOLCHK3', 'No -  Go to Section 06.01 CHOLCHK3', 'Told borderline high or pre-hypertensive or elevated blood pressure -  Go to Section 06.01 CHOLCHK3', ""Don't know/Not Sure -  Go to Section 06.01 CHOLCHK3"", 'Refused -  Go to Section 06.01 CHOLCHK3', 'Not asked or Missing'], 'Frequency': ['176,222', '3,280', '247,855', '4,047', '1,312', '604', '3'], 'Percentage': ['40.67', '0.76', '57.20', '0.93', '0.30', '0.14', '.'], 'Weighted Percentage': ['34.28', '0.90', '63.46', '0.84', '0.36', '0.15', '.']}"
Currently Taking Prescription Blood Pressure Medication,Hypertension Awareness,,2,134,Num,BPMEDS1,,Are you currently taking prescription medicine for your high blood pressure?,"{'Value': ['1', '2', '7', '9', 'BLANK'], 'Value Label': ['Yes', 'No', ""Don't know/Not Sure"", 'Refused', 'Not asked or MissingNotes: Section 05.01, BPHIGH6, is coded 2, 3, 4, 7, 9, or Missing'], 'Frequency': ['144,089', '31,631', '344', '158', '257,101'], 'Percentage': ['81.77', '17.95', '0.20', '0.09', '.'], 'Weighted Percentage': ['76.95', '22.77', '0.17', '0.11', '.']}"
How Long since Cholesterol Checked,Cholesterol Awareness,,1,135,Num,CHOLCHK3,Cholesterol is a fatty substance found in the blood.,About how long has it been since you last had your cholesterol checked?,"{'Value': ['1', '2', '3', '4', '5', '6', '7', '8', '9', 'BLANK'], 'Value Label': ['Never -  Go to Section 07.01 CVDINFR4', 'Within the past year (anytime less than one year ago)', 'Within the past 2 years (1 year but less than 2 years ago)', 'Within the past 3 years (2 years but less than 3 years ago)', 'Within the past 4 years (3 years but less than 4 years ago)', 'Within the past 5 years (4 years but less than 5 years ago)', ""Don't know/Not Sure -  Go to Section 07.01 CVDINFR4"", '5 or more years ago', 'Refused -  Go to Section 07.01 CVDINFR4', 'Not asked or Missing'], 'Frequency': ['25,362', '307,737', '38,772', '12,240', '5,495', '4,378', '25,705', '12,890', '741', '3'], 'Percentage': ['5.85', '71.02', '8.95', '2.82', '1.27', '1.01', '5.93', '2.97', '0.17', '.'], 'Weighted Percentage': ['8.14', '65.62', '9.61', '3.22', '1.43', '1.10', '7.38', '3.29', '0.20', '.']}"
Ever Told Cholesterol Is High,Cholesterol Awareness,,2,136,Num,TOLDHI3,,"Have you ever been told by a doctor, nurse or other health professional that your cholesterol is high?","{'Value': ['1', '2', '7', '9', 'BLANK'], 'Value Label': ['Yes', 'No', ""Don't know/Not Sure"", 'Refused', 'Not asked or MissingNotes: Section 06.01, CHOLCHK3, is coded 1, 7, 9, or Missing'], 'Frequency': ['158,906', '219,333', '2,868', '404', '51,812'], 'Percentage': ['41.65', '57.49', '0.75', '0.11', '.'], 'Weighted Percentage': ['37.20', '61.96', '0.71', '0.12', '.']}"
Currently taking medicine for high cholesterol,Cholesterol Awareness,,3,137,Num,CHOLMED3,,Are you currently taking medicine prescribed by your doctor or other health professional for your cholesterol?,"{'Value': ['1', '2', '7', '9', 'BLANK'], 'Value Label': ['Yes', 'No', ""Don't know/Not Sure"", 'Refused', 'Not asked or MissingNotes: Section 06.01, CHOLCHK3, is coded 1, 7, 9, or Missing;'], 'Frequency': ['122,699', '254,973', '1,527', '684', '53,440'], 'Percentage': ['32.30', '67.12', '0.40', '0.18', '.'], 'Weighted Percentage': ['26.43', '73.14', '0.29', '0.14', '.']}"
Ever Diagnosed with Heart Attack,Chronic Health Conditions,,1,138,Num,CVDINFR4,,"(Ever told) you had a heart attack, also called a myocardial infarction?","{'Value': ['1', '2', '7', '9', 'BLANK'], 'Value Label': ['Yes', 'No', ""Don't know/Not sure"", 'Refused', 'Not asked or Missing'], 'Frequency': ['23,451', '407,304', '2,314', '251', '3'], 'Percentage': ['5.41', '94.00', '0.53', '0.06', '.'], 'Weighted Percentage': ['4.16', '95.17', '0.61', '0.05', '.']}"
Ever Diagnosed with Angina or Coronary Heart Disease,Chronic Health Conditions,,2,139,Num,CVDCRHD4,,(Ever told) (you had) angina or coronary heart disease?,"{'Value': ['1', '2', '7', '9', 'BLANK'], 'Value Label': ['Yes', 'No', ""Don't know/Not sure"", 'Refused', 'Not asked or Missing'], 'Frequency': ['23,454', '405,638', '3,936', '292', '3'], 'Percentage': ['5.41', '93.61', '0.91', '0.07', '.'], 'Weighted Percentage': ['4.03', '95.15', '0.76', '0.06', '.']}"
Ever Diagnosed with a Stroke,Chronic Health Conditions,,3,140,Num,CVDSTRK3,,(Ever told) (you had) a stroke.,"{'Value': ['1', '2', '7', '9', 'BLANK'], 'Value Label': ['Yes', 'No', ""Don't know/Not sure"", 'Refused', 'Not asked or Missing'], 'Frequency': ['18,350', '413,499', '1,212', '258', '4'], 'Percentage': ['4.23', '95.43', '0.28', '0.06', '.'], 'Weighted Percentage': ['3.37', '96.30', '0.26', '0.06', '.']}"
Ever Told Had Asthma,Chronic Health Conditions,,4,141,Num,ASTHMA3,,(Ever told) (you had) asthma?,"{'Value': ['1', '2', '7', '9', 'BLANK'], 'Value Label': ['Yes', 'No -  Go to Section 07.06 CHCSCNC1', ""Don't know/Not Sure -  Go to Section 07.06 CHCSCNC1"", 'Refused -  Go to Section 07.06 CHCSCNC1', 'Not asked or Missing'], 'Frequency': ['64,366', '367,256', '1,444', '254', '3'], 'Percentage': ['14.85', '84.75', '0.33', '0.06', '.'], 'Weighted Percentage': ['15.08', '84.51', '0.36', '0.05', '.']}"
Still Have Asthma,Chronic Health Conditions,,5,142,Num,ASTHNOW,,Do you still have asthma?,"{'Value': ['1', '2', '7', '9', 'BLANK'], 'Value Label': ['Yes', 'No', ""Don't know/Not Sure"", 'Refused', 'Not asked or MissingNotes: Section 07.04, ASTHMA3 is coded 2, 7, 9, or Missing'], 'Frequency': ['43,949', '18,476', '1,904', '37', '368,957'], 'Percentage': ['68.28', '28.70', '2.96', '0.06', '.'], 'Weighted Percentage': ['64.58', '32.31', '3.04', '0.06', '.']}"
(Ever told) (you had) skin cancer that is not melanoma?,Chronic Health Conditions,,6,143,Num,CHCSCNC1,,(Ever told) (you had) skin cancer that is not melanoma?,"{'Value': ['1', '2', '7', '9', 'BLANK'], 'Value Label': ['Yes', 'No', ""Don't know / Not sure"", 'Refused', 'Not asked or Missing'], 'Frequency': ['36,567', '393,826', '2,634', '293', '3'], 'Percentage': ['8.44', '90.89', '0.61', '0.07', '.'], 'Weighted Percentage': ['5.33', '94.11', '0.49', '0.06', '.']}"
(Ever told) (you had)  melanoma or any other types of cancer?,Chronic Health Conditions,,7,144,Num,CHCOCNC1,,(Ever told) (you had) melanoma or any other types of cancer?,"{'Value': ['1', '2', '7', '9', 'BLANK'], 'Value Label': ['Yes', 'No', ""Don't know / Not sure"", 'Refused', 'Not asked or Missing'], 'Frequency': ['50,555', '380,431', '1,989', '345', '3'], 'Percentage': ['11.67', '87.79', '0.46', '0.08', '.'], 'Weighted Percentage': ['7.89', '91.67', '0.36', '0.08', '.']}"
Ever told you had C.O.P.D. emphysema or chronic bronchitis?,Chronic Health Conditions,,8,145,Num,CHCCOPD3,,"(Ever told) (you had) C.O.P.D. (chronic obstructive pulmonary disease), emphysema or chronic bronchitis?","{'Value': ['1', '2', '7', '9', 'BLANK'], 'Value Label': ['Yes', 'No', ""Don't know / Not sure"", 'Refused', 'Not asked or Missing'], 'Frequency': ['33,097', '398,160', '1,794', '269', '3'], 'Percentage': ['7.64', '91.89', '0.41', '0.06', '.'], 'Weighted Percentage': ['6.16', '93.35', '0.44', '0.06', '.']}"
(Ever told) you had a depressive disorder,Chronic Health Conditions,,9,146,Num,ADDEPEV3,,"(Ever told) (you had) a depressive disorder (including depression, major depression, dysthymia, or minor depression)?","{'Value': ['1', '2', '7', '9', 'BLANK'], 'Value Label': ['Yes', 'No', ""Don't know/Not sure"", 'Refused', 'Not asked or Missing'], 'Frequency': ['88,149', '342,587', '2,017', '567', '3'], 'Percentage': ['20.34', '79.06', '0.47', '0.13', '.'], 'Weighted Percentage': ['20.03', '79.26', '0.57', '0.13', '.']}"
Ever told you have kidney disease?,Chronic Health Conditions,,10,147,Num,CHCKDNY2,,"Not including kidney stones, bladder infection or incontinence, were you ever told you had kidney disease?","{'Value': ['1', '2', '7', '9', 'BLANK'], 'Value Label': ['Yes', 'No', ""Don't know / Not sure"", 'Refused', 'Not asked or Missing'], 'Frequency': ['20,555', '410,876', '1,622', '267', '3'], 'Percentage': ['4.74', '94.82', '0.37', '0.06', '.'], 'Weighted Percentage': ['3.81', '95.79', '0.33', '0.06', '.']}"
Told Had Arthritis,Chronic Health Conditions,,11,148,Num,HAVARTH4,,"(Ever told) (you had) some form of arthritis, rheumatoid arthritis, gout, lupus, or fibromyalgia?  (Arthritis diagnoses include: rheumatism, polymyalgia rheumatica; osteoarthritis (not osteporosis); tendonitis, bursitis, bunion, tennis elbow; carpal tunnel syndrome, tarsal tunnel syndrome; joint infection, etc.)","{'Value': ['1', '2', '7', '9', 'BLANK'], 'Value Label': ['Yes', 'No', ""Don't know/Not Sure"", 'Refused', 'Not asked or Missing'], 'Frequency': ['142,764', '287,999', '2,253', '303', '4'], 'Percentage': ['32.95', '66.46', '0.52', '0.07', '.'], 'Weighted Percentage': ['25.21', '74.21', '0.51', '0.07', '.']}"
(Ever told) you had diabetes,Chronic Health Conditions,,12,149,Num,DIABETE4,,"(Ever told) (you had) diabetes?  (If Yes -   and respondent is female, ask Was this only when you were pregnant? If Respondent says pre-diabetes or borderline diabetes, use response code 4.)","{'Value': ['1', '2', '3', '4', '7', '9', 'BLANK'], 'Value Label': ['Yes', 'Yes, but female told only during pregnancy -  Go to Section 08.01 AGE', 'No -  Go to Section 08.01 AGE', 'No, pre-diabetes or borderline diabetes -  Go to Section 08.01 AGE', ""Don't know/Not Sure -  Go to Section 08.01 AGE"", 'Refused -  Go to Section 08.01 AGE', 'Not asked or Missing'], 'Frequency': ['59,786', '3,253', '358,706', '10,594', '683', '296', '5'], 'Percentage': ['13.80', '0.75', '82.78', '2.44', '0.16', '0.07', '.'], 'Weighted Percentage': ['12.04', '0.93', '84.16', '2.58', '0.21', '0.08', '.']}"
Age When First Told You Had Diabetes,Chronic Health Conditions,,13,150-151,Num,DIABAGE4,,How old were you when you were first told you had diabetes?,"{'Value': ['1 - 97', '98', '99', 'BLANK'], 'Value Label': ['Age in years  [97 = 97 and older]Notes: _ _ Code age in years, 97 = 97 or older', ""Don't know/Not sure"", 'Refused', 'Not asked or MissingNotes: Section 07.12, DIABETE4, is coded 2, 3, 4, 7, 9, or Missing'], 'Frequency': ['55,219', '4,284', '283', '373,537'], 'Percentage': ['92.36', '7.17', '0.47', '.'], 'Weighted Percentage': ['92.67', '6.82', '0.50', '.']}"
Marital Status,Demographics,,4,186,Num,MARITAL,,Are you: (marital status),"{'Value': ['1', '2', '3', '4', '5', '6', '9', 'BLANK'], 'Value Label': ['Married', 'Divorced', 'Widowed', 'Separated', 'Never married', 'A member of an unmarried couple', 'Refused', 'Not asked or Missing'], 'Frequency': ['222,210', '55,007', '47,225', '8,316', '77,124', '19,152', '4,282', '7'], 'Percentage': ['51.28', '12.69', '10.90', '1.92', '17.80', '4.42', '0.99', '.'], 'Weighted Percentage': ['49.18', '9.99', '6.97', '2.45', '24.66', '5.62', '1.13', '.']}"
Education Level,Demographics,,5,187,Num,EDUCA,,What is the highest grade or year of school you completed?,"{'Value': ['1', '2', '3', '4', '5', '6', '9', 'BLANK'], 'Value Label': ['Never attended school or only kindergarten', 'Grades 1 through 8 (Elementary)', 'Grades 9 through 11 (Some high school)', 'Grade 12 or GED (High school graduate)', 'College 1 year to 3 years (Some college or technical school)', 'College 4 years or more (College graduate)', 'Refused', 'Not asked or Missing'], 'Frequency': ['687', '8,324', '16,161', '106,613', '114,346', '184,867', '2,316', '9'], 'Percentage': ['0.16', '1.92', '3.73', '24.60', '26.39', '42.66', '0.53', '.'], 'Weighted Percentage': ['0.34', '4.01', '7.22', '27.04', '29.90', '30.90', '0.59', '.']}"
Own or Rent Home,Demographics,,6,188,Num,RENTHOM1,,Do you own or rent your home?,"{'Value': ['1', '2', '3', '7', '9', 'BLANK'], 'Value Label': ['Own', 'Rent', 'Other arrangement', ""Don't know/Not Sure"", 'Refused', 'Not asked or MissingNotes: Due to the nature of the data or the size of the table for display, this information is not printed for this report'], 'Frequency': ['301,956', '105,960', '21,317', '1,048', '3,034', '8'], 'Percentage': ['69.69', '24.45', '4.92', '0.24', '0.70', '.'], 'Weighted Percentage': ['66.89', '25.59', '6.26', '0.48', '0.78', '.']}"
Household Landline Telephones,Demographics,,9,197,Num,NUMHHOL4,,"Not including cell phones or numbers used for computers, fax machines or security systems, do you have more than one landline telephone number in your household?","{'Value': ['1', '2', '7', '9', 'BLANK'], 'Value Label': ['Yes', 'No -  Go to Section 08.11 CPDEMO1C', ""Don't know/Not sure -  Go to Section 08.11 CPDEMO1C"", 'Refused -  Go to Section 08.11 CPDEMO1C', 'Not asked or MissingNotes: QSTVER >= 20'], 'Frequency': ['7,336', '80,314', '199', '496', '344,978'], 'Percentage': ['8.30', '90.91', '0.23', '0.56', '.'], 'Weighted Percentage': ['5.78', '92.92', '0.31', '0.99', '.']}"
Residential Landline Phones,Demographics,,10,198,Num,NUMPHON4,,How many of these landline telephone numbers are residential numbers?,"{'Value': ['1 - 5', '6', '7', '8', '9', 'BLANK'], 'Value Label': ['Residential telephone number(s)', 'Residential telephone numbersNotes: 6 = 6 or more', ""Don't know/Not Sure"", 'None', 'Refused', 'Not asked or MissingNotes: Section 08.10, NUMHHOL4, is coded 2, 7, 9, or Missing; or QSTVER >= 20'], 'Frequency': ['6,890', '25', '176', '97', '148', '425,987'], 'Percentage': ['93.92', '0.34', '2.40', '1.32', '2.02', '.'], 'Weighted Percentage': ['90.44', '0.12', '3.59', '1.74', '4.11', '.']}"
Do you have a cell phone for your personal use?,Demographics,,11,199,Num,CPDEMO1C,,How many cell phones do you have for your personal use?  (Last question needed for partial complete.),"{'Value': ['1 - 5', '6', '7', '8', '9', 'BLANK'], 'Value Label': ['Enter number (1-5)Notes: Last question needed for partial complete.', 'Six or more', ""Don't know/Not sure"", 'None', 'Refused', 'Not asked or Missing'], 'Frequency': ['416,491', '309', '463', '11,607', '4,408', '45'], 'Percentage': ['96.13', '0.07', '0.11', '2.68', '1.02', '.'], 'Weighted Percentage': ['95.32', '0.09', '0.15', '3.11', '1.33', '.']}"
Are You A Veteran,Demographics,,12,200,Num,VETERAN3,,"Have you ever served on active duty in the United States Armed Forces, either in the regular military or in a National Guard or military reserve unit?","{'Value': ['1', '2', '7', '9', 'BLANK'], 'Value Label': ['Yes', 'No', ""Don't know/Not Sure"", 'Refused', 'Not asked or Missing'], 'Frequency': ['51,008', '379,749', '204', '1,143', '1,219'], 'Percentage': ['11.80', '87.88', '0.05', '0.26', '.'], 'Weighted Percentage': ['9.69', '89.97', '0.05', '0.29', '.']}"
Employment Status,Demographics,,13,201,Num,EMPLOY1,,Are you currently?,"{'Value': ['1', '2', '3', '4', '5', '6', '7', '8', '9', 'BLANK'], 'Value Label': ['Employed for wages', 'Self-employed', 'Out of work for 1 year or more', 'Out of work for less than 1 year', 'A homemaker', 'A student', 'Retired', 'Unable to work', 'Refused', 'Not asked or Missing'], 'Frequency': ['177,871', '37,923', '7,668', '8,976', '17,521', '10,244', '139,949', '25,490', '4,713', '2,968'], 'Percentage': ['41.33', '8.81', '1.78', '2.09', '4.07', '2.38', '32.52', '5.92', '1.10', '.'], 'Weighted Percentage': ['46.69', '9.53', '2.40', '2.99', '5.17', '4.78', '20.78', '6.25', '1.41', '.']}"
Number of Children in Household,Demographics,,14,202-203,Num,CHILDREN,,How many children less than 18 years of age live in your household?,"{'Value': ['1 - 87', '88', '99', 'BLANK'], 'Value Label': ['Number of childrenNotes: _ _ = Number of children', 'None', 'Refused', 'Not asked or Missing'], 'Frequency': ['105,028', '319,209', '3,994', '5,092'], 'Percentage': ['24.53', '74.54', '0.93', '.'], 'Weighted Percentage': ['32.60', '66.19', '1.22', '.']}"
Income Level,Demographics,,15,204-205,Num,INCOME3,,"Is your annual household income from all sources:  (If respondent refuses at any income level, code Refused.)","{'Value': ['1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '77', '99', 'BLANK'], 'Value Label': ['Less than $10,000', 'Less than $15,000 ($10,000 to < $15,000)', 'Less than $20,000 ($15,000 to < $20,000)', 'Less than $25,000 ($20,000 to < $25,000)', 'Less than $35,000 ($25,000 to < $35,000)', 'Less than $50,000 ($35,000 to < $50,000)', 'Less than $75,000 ($50,000 to < $75,000)', 'Less than $100,000 ($75,000 to < $100,000)', 'Less than $150,000 ($100,000 to < $150,000)', 'Less than $200,000 ($150,000 to < $200,000)', '$200,000 or more', ""Don't know/Not sure"", 'Refused', 'Not asked or Missing'], 'Frequency': ['9,280', '9,907', '12,867', '18,202', '38,508', '47,502', '57,896', '49,131', '52,284', '24,353', '26,770', '36,316', '42,232', '8,075'], 'Percentage': ['2.18', '2.33', '3.03', '4.28', '9.06', '11.17', '13.61', '11.55', '12.29', '5.73', '6.30', '8.54', '9.93', '.'], 'Weighted Percentage': ['2.76', '2.24', '3.24', '4.47', '9.09', '10.66', '12.32', '10.48', '11.92', '5.97', '6.94', '10.60', '9.33', '.']}"
